Date,Open,High,Low,Close,Volume,Adj Close
2014-05-02,11.80,11.80,11.30,11.38,192800,11.38
2014-05-01,11.53,11.53,11.53,11.53,000,11.53
2014-04-30,12.00,12.33,11.30,11.53,524500,11.53
2014-04-29,11.60,12.50,11.60,11.95,552200,11.95
2014-04-28,11.90,12.64,11.15,11.83,855600,11.83
2014-04-25,13.29,13.44,11.88,12.02,659600,12.02
2014-04-24,13.26,13.26,13.26,13.26,000,13.26
2014-04-23,15.75,16.13,13.08,13.26,1929600,13.26
2014-04-22,14.35,15.85,14.35,15.50,519000,15.50
2014-04-21,14.85,15.10,14.40,14.60,138400,14.60
2014-04-18,14.82,14.82,14.82,14.82,000,14.82
2014-04-17,14.94,14.99,14.15,14.82,256000,14.82
2014-04-16,17.01,17.01,14.39,14.54,867900,14.54
2014-04-15,13.66,16.39,13.01,16.39,969300,16.39
2014-04-14,13.66,13.66,13.66,13.66,000,13.66
2014-04-11,13.55,13.89,12.90,13.66,146900,13.66
2014-04-10,13.85,14.20,13.50,13.60,124200,13.60
2014-04-09,14.00,16.50,12.95,13.63,367200,13.63
2014-04-08,13.84,13.84,13.84,13.84,000,13.84
2014-04-07,12.00,14.90,11.90,13.84,502700,13.84
2014-04-04,12.40,13.40,11.44,12.61,205500,12.61
2014-04-03,11.96,11.96,11.35,11.53,47500,11.53
2014-04-02,11.87,11.97,11.40,11.59,35400,11.59
2014-04-01,11.14,12.50,10.75,11.57,81400,11.57
2014-03-31,10.63,11.00,10.50,10.80,19400,10.80
2014-03-28,10.65,10.85,10.50,10.67,16700,10.67
2014-03-27,10.65,10.85,10.52,10.69,12400,10.69
2014-03-26,10.99,11.10,10.50,10.63,62300,10.63
2014-03-25,10.75,11.05,10.70,10.83,26500,10.83
2014-03-24,12.25,12.25,10.80,10.87,34300,10.87
2014-03-21,11.05,11.25,10.80,10.94,31800,10.94
2014-03-20,11.00,11.24,10.88,10.92,17200,10.92
2014-03-19,10.70,11.35,10.70,10.92,60100,10.92
2014-03-18,11.00,11.60,10.70,10.77,28800,10.77
2014-03-17,10.75,10.75,10.75,10.75,000,10.75
2014-03-14,10.66,11.30,10.66,10.75,29700,10.75
2014-03-13,11.25,11.50,10.76,10.92,40200,10.92
2014-03-12,12.40,12.40,11.10,11.30,45500,11.30
2014-03-11,12.00,12.00,11.35,11.59,39300,11.59
2014-03-10,12.50,12.90,11.60,11.83,78600,11.83
2014-03-07,11.95,13.25,11.80,12.00,458400,12.00
2014-03-06,10.20,11.29,10.20,11.29,84800,11.29
2014-03-05,10.75,10.75,10.13,10.27,12900,10.27
2014-03-04,9.70,10.45,9.70,10.20,33700,10.20
2014-03-03,10.55,10.55,10.13,10.28,10600,10.28
2014-02-28,10.30,10.60,10.30,10.41,13200,10.41
2014-02-27,10.24,10.24,10.24,10.24,000,10.24
2014-02-26,9.83,10.35,9.83,10.24,142100,10.24
2014-02-25,10.12,10.30,9.97,10.02,35300,10.02
2014-02-24,11.10,11.10,10.30,10.41,37100,10.41
2014-02-21,10.71,10.99,10.50,10.83,21500,10.83
2014-02-20,11.00,11.29,10.80,10.85,40000,10.85
2014-02-19,11.10,11.50,11.00,11.19,24900,11.19
2014-02-18,11.15,11.23,10.75,11.12,27200,11.12
2014-02-17,11.45,11.70,11.25,11.30,20000,11.30
2014-02-14,11.44,11.78,11.10,11.37,24200,11.37
2014-02-13,11.61,11.80,11.21,11.27,12300,11.27
2014-02-12,11.78,11.83,11.25,11.63,28500,11.63
2014-02-11,12.17,12.17,11.76,11.78,14300,11.78
2014-02-10,11.70,12.10,11.70,11.88,14200,11.88
2014-02-07,12.10,12.10,11.77,11.81,24000,11.81
2014-02-06,12.00,12.25,11.62,11.95,47400,11.95
2014-02-05,11.65,12.20,11.55,11.91,39400,11.91
2014-02-04,11.40,11.69,11.30,11.50,24400,11.50
2014-02-03,12.40,12.50,11.52,11.63,60200,11.63
2014-01-31,11.85,12.24,11.60,12.19,14400,12.19
2014-01-30,12.00,12.20,11.65,11.74,40700,11.74
2014-01-29,12.50,12.60,12.20,12.24,36100,12.24
2014-01-28,12.60,12.60,12.25,12.37,21800,12.37
2014-01-27,12.70,12.70,12.20,12.33,37200,12.33
2014-01-24,13.29,13.30,12.60,12.83,35900,12.83
2014-01-23,13.16,13.40,13.01,13.13,31000,13.13
2014-01-22,13.50,13.50,13.15,13.31,27100,13.31
2014-01-21,13.20,13.40,13.07,13.31,39200,13.31
2014-01-20,13.40,13.45,13.00,13.09,28400,13.09
2014-01-17,13.10,13.60,13.00,13.17,39700,13.17
2014-01-16,13.71,13.80,13.36,13.38,23700,13.38
